Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Awara Paagal Deewana,awara paagal deewana,"Action, Comedy, Crime, Drama, Thriller",Hindi,Movie,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,Hong Kong,Japan,United States,Russia,India",> 2 hrs,6.2,6,1,,21-Jun-02,2021-02-16,7549
Unhinged,unhinged,"Action, Thriller",English,Movie,Canada,1-2 hour,6.1,,1,"$20,831,465",21-Aug-20,2021-02-16,34208
John Lewis: Good Trouble,john lewis: good trouble,Documentary,English,Movie,Canada,1-2 hour,7.1,3,8,,03-Jul-20,2021-02-16,539
Repo Man,repo man,"Action, Comedy, Crime, Sci-Fi, Thriller","English, Spanish",Movie,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,6.9,2,3,"$129,000",02-Mar-84,2021-02-16,33965
For Love of the Game,for love of the game,"Drama, Romance, Sport",English,Movie,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania,Mexico,Argentina,Colombia",> 2 hrs,6.6,,7,"$35,188,640",17-Sep-99,2021-02-16,31879
The Crew,the crew,"Comedy, Crime","English, Spanish",Series,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,Hong Kong,Japan,South Korea,United States,Russia,India",< 30 minutes,5.7,1,,"$13,023,075",25-Aug-00,2021-02-16,4473
Sweethearts,sweethearts,"Comedy, Drama",English,Movie,"Germany,Switzerland",1-2 hour,6.3,1,,,10-Oct-97,2021-02-15,617
The Queen of Sin,the queen of sin,"Drama, Mystery, Thriller",English,Movie,"Germany,Switzerland",1-2 hour,4.2,,2,,05-May-18,2021-02-15,386
Uppercut,uppercut,"Action, Comedy, Sport",Italian,Movie,"Germany,Switzerland",1-2 hour,6.8,2,,,05-Oct-78,2021-02-15,4999
The Replacement Killers,the replacement killers,"Action, Crime, Thriller","English, Cantonese",Movie,South Africa,1-2 hour,6.2,,1,"$19,204,929",06-Feb-98,2021-02-15,26994
Then Came You,then came you,"Adventure, Comedy, Drama",,Movie,Canada,1-2 hour,7,,,,01-Feb-19,2021-02-15,9592
Story of Women,story of women,"Drama, Romance",French,Movie,France,1-2 hour,7.5,13,7,"$438,483",01-Feb-90,2021-02-15,3928
The Flower of Evil,the flower of evil,Drama,French,Movie,France,1-2 hour,6.5,,2,"$182,163",19-Feb-03,2021-02-15,2966
The Swindle,the swindle,"Comedy, Crime, Thriller","French, Hungarian, Italian, Swiss German, Latin",Movie,France,1-2 hour,6.5,3,1,"$250,899",24-Oct-97,2021-02-15,2177
Madame Bovary,madame bovary,"Drama, Romance","English, French, Latin, German",Movie,France,> 2 hrs,5.7,,2,"$44,235",12-Jun-15,2021-02-15,7708
LEnfer,lenfer,"Comedy, Drama",Greek,Movie,France,1-2 hour,5.5,,8,,23-Feb-12,2021-02-15,677
Betty,betty,Comedy,,Movie,France,1-2 hour,6.7,,1,,01-May-20,2021-02-15,1411
New Amsterdam,new amsterdam,Drama,English,Series,"Poland,Italy,Spain,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Netherlands,Thailand,Singapore,Turkey,Romania,Australia,Malaysia,Hong Kong,South Korea,Russia,Canada,Mexico,Argentina,Colombia",< 30 minutes,8.1,3,,,25-Sep-18,2021-02-15,17422
Wheel of Fortune,wheel of fortune,"Family, Game-Show",English,Series,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,Russia,Iceland,Canada,Mexico,Argentina,Brazil,Colombia,United States",< 30 minutes,6.7,9,75,,19-Sep-83,2021-02-15,2667
The Big Day,the big day,"Comedy, Romance",Danish,Series,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,5.4,,,,18-Mar-05,2021-02-15,377
The Photograph,the photograph,"Drama, Romance",English,Movie,South Korea,1-2 hour,6,,4,"$20,578,185",14-Feb-20,2021-02-14,3853
Three Nobunagas,three nobunagas,"Comedy, Drama, History",Japanese,Movie,Japan,1-2 hour,4.5,,,,20-Sep-19,2021-02-14,22
Monsoon,monsoon,"Drama, Romance","English, Vietnamese",Movie,"Canada,United States",1-2 hour,5.9,1,2,,13-Nov-20,2021-02-14,1083
White House Farm,white house farm,"Biography, Crime, Drama, Mystery, Thriller",English,Series,United Kingdom,< 30 minutes,7.4,1,1,,24-Sep-20,2021-02-13,5167
Follow Me,follow me,Documentary,English,Movie,Netherlands,1-2 hour,5.1,,,,18-Nov-18,2021-02-12,229
Mundina Nildana,mundina nildana,"Comedy, Drama, Romance",Kannada,Movie,"Canada,Mexico,South Africa,Turkey,Thailand,Singapore,Argentina,Australia,Israel,Brazil,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia",1-2 hour,6.4,,,,22-Nov-19,2021-02-12,284
Capitani,capitani,"Crime, Drama, Mystery, Thriller",Luxembourgish,Series,"Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Canada,Slovakia,Mexico,Sweden,Netherlands,South Africa,Germany,Turkey,Thailand,Romania,Singapore,Argentina,Australia,Israel,Brazil,Switzerland,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,France",< 30 minutes,7.1,,,,11-Feb-21,2021-02-12,366
Romang,romang,"Drama, Romance",English,Movie,South Korea,1-2 hour,7.2,,,,03-Apr-19,2021-02-11,117
SUMMER 03,summer 03,"Drama, Romance","French, English, Spanish, German",Movie,South Korea,1-2 hour,7.7,5,,"$43,839",29-Aug-86,2021-02-11,7183
Weathering with You,weathering with you,"Animation, Drama, Fantasy, Romance",Japanese,Movie,South Korea,1-2 hour,7.5,6,16,"$7,798,743",17-Jan-20,2021-02-11,23305
Night of the Undead,night of the undead,"Comedy, Sci-Fi, Thriller",Korean,Movie,South Korea,1-2 hour,5.3,,,,29-Sep-20,2021-02-11,62
Monster Hunt 2,monster hunt 2,"Adventure, Comedy, Fantasy, Sci-Fi",Mandarin,Movie,Singapore,1-2 hour,5.4,1,9,"$706,153",16-Feb-18,2021-02-11,1399
Homecoming,homecoming,"Drama, Mystery, Thriller",English,Movie,"Singapore,Malaysia",1-2 hour,7.5,2,29,,02-Nov-18,2021-02-11,21076
Forgotten Rules,forgotten rules,"Comedy, Crime",Indonesian,Movie,"Thailand,Singapore,Malaysia",1-2 hour,7.1,,,,,2021-02-11,26
Lassie Come Home,lassie come home,"Adventure, Drama, Family",English,Movie,Netherlands,1-2 hour,7.1,3,2,,01-Dec-43,2021-02-11,4973
The School Trip,the school trip,"Comedy, Romance",German,Movie,Slovakia,1-2 hour,5.5,,1,,28-Oct-04,2021-02-11,288
News of the World,news of the world,"Action, Adventure, Drama, Western","English, German",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Czech Republic,Belgium,Portugal,Mexico,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Argentina,Israel,Australia,Switzerland,United Kingdom,Brazil,Malaysia,India,Colombia,Hong Kong,South Korea,Russia,Greece,Japan",1-2 hour,6.9,2,46,"$11,433,050",25-Dec-20,2021-02-11,30581
O Filho Eterno,o filho eterno,"Drama, Family",Portuguese,Movie,Brazil,1-2 hour,6.8,,1,,01-Dec-16,2021-02-10,140
Paradoks,paradoks,Crime,Polish,Series,Poland,< 30 minutes,7,,,,06-Sep-12,2021-02-10,95
Oh Happy Day,oh happy day,"Comedy, Drama, Music, Romance","Danish, English",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Portugal,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",1-2 hour,5.6,,8,,05-Nov-04,2021-02-10,714
Kenny Begins,kenny begins,"Action, Comedy, Sci-Fi",Swedish,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,5.8,,,,25-Mar-09,2021-02-10,1693
Cold Lunch,cold lunch,Drama,Norwegian,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,5,4,5,,01-Feb-08,2021-02-10,831
Spaceship Earth,spaceship earth,Documentary,English,Movie,"Colombia,Mexico,Argentina,Brazil",1-2 hour,6.4,,6,,08-May-20,2021-02-09,1301
Mr. & Mrs. Incredible,mr. & mrs. incredible,"Action, Comedy, Crime, Thriller","English, Spanish",Movie,"Singapore,Malaysia",1-2 hour,6.5,9,18,"$186,336,279",10-Jun-05,2021-02-08,451482
Golden Chickensss,golden chickensss,"Comedy, Drama","Cantonese, Mandarin",Movie,"Singapore,Malaysia",1-2 hour,5.6,3,5,,30-Jan-14,2021-02-08,404
Golden Chicken,golden chicken,"Drama, Comedy",Cantonese,Movie,"Singapore,Malaysia",1-2 hour,7.1,3,9,,26-Dec-02,2021-02-08,836
American Dreams in China,american dreams in china,Drama,Mandarin,Movie,"Singapore,Malaysia",1-2 hour,7,31,32,,17-May-13,2021-02-08,2121
12 Golden Ducks,12 golden ducks,Comedy,"Cantonese, Mandarin, English, Thai",Movie,"Singapore,Malaysia",1-2 hour,4.7,,,,19-Feb-15,2021-02-08,266
Dont be the First one,dont be the first one,"Action, Crime, Thriller",Hindi,Series,South Korea,< 30 minutes,7.2,1,11,"$2,223,961",20-Oct-06,2021-02-07,34427
Space Sweepers,space sweepers,"Action, Adventure, Drama, Fantasy, Sci-Fi","Korean, English",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania",> 2 hrs,6.6,,,,05-Feb-21,2021-02-06,6602
"Strip Down, Rise Up","strip down, rise up",Documentary,English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania",1-2 hour,5.1,,,,05-Feb-21,2021-02-06,252
Malcolm & Marie,malcolm & marie,"Comedy, Crime, Sci-Fi",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania",1-2 hour,7.2,9,,"$544,472",05-Nov-86,2021-02-06,1936
Little Big Women,little big women,Drama,"Mandarin, Min Nan",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania",> 2 hrs,7.3,1,5,,06-Nov-20,2021-02-06,901
Invisible City,invisible city,Documentary,English,Series,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania",< 30 minutes,7.3,,,,02-May-09,2021-02-06,18
Yakuza Ladies: The Final Battle,yakuza ladies: the final battle,,Japanese,Movie,Japan,1-2 hour,6.3,,1,,02-Jun-90,2021-02-05,15
Tim Maia,tim maia,"Biography, Drama, Music, Romance","Portuguese, English",Movie,Brazil,> 2 hrs,7.2,6,14,,30-Oct-14,2021-02-05,1796
Doob: No Bed of Roses,doob: no bed of roses,Drama,Bengali,Movie,"Canada,Mexico,South Africa,Thailand,Singapore,Argentina,Australia,Israel,Brazil,Turkey,India,Hong Kong,Malaysia,Japan,United States,Russia,Colombia",1-2 hour,6.2,2,3,,07-Nov-17,2021-02-05,1500
The Yin-Yang Master: Dream Of Eternity,the yin-yang master: dream of eternity,"Action, Drama, Fantasy, Mystery, Sci-Fi",Chinese,Movie,"Lithuania,France,Iceland,Italy,Spain,Greece,Canada,Czech Republic,Mexico,Belgium,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Netherlands,Argentina,Australia,Israel,Germany,Brazil,Turkey,Switzerland,India,United Kingdom,Hong Kong,Malaysia,Japan,South Korea,United States,Russia,Colombia,Poland,Romania",> 2 hrs,6.3,,,,05-Feb-21,2021-02-05,1809
Ghost Buddies,ghost buddies,Comedy,Mandarin,Movie,"Malaysia,Singapore",1-2 hour,5,,,,10-May-12,2021-02-04,6
A Febre,a febre,"Drama, History, Romance",Portuguese,Movie,Brazil,1-2 hour,7.8,,,,08-Jan-01,2021-02-04,27
Money,money,"Crime, Mystery, Thriller","English, Spanish",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Portugal,Netherlands,Switzerland,United Kingdom,Czech Republic,Germany",1-2 hour,5.5,16,26,,27-Jun-17,2021-02-04,2564
Starring Maja,starring maja,"Comedy, Drama, Family",Swedish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,6.3,,3,,11-Sep-09,2021-02-04,544
Strong As A Lion,strong as a lion,"Adventure, Drama, Family",Swedish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,4.5,,1,,14-Feb-03,2021-02-04,218
The Assault,the assault,"Action, History, Thriller","French, Arabic",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,6.1,,,,09-Mar-11,2021-02-04,3522
The Dream House,the dream house,"Comedy, Drama, Fantasy","English, Spanish",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,9.4,,,,24-Jun-16,2021-02-04,7
The Great Adventure,the great adventure,"Drama, Family",Swedish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,6.8,6,1,,23-May-55,2021-02-04,221
The Pilgrimage to Kevlaar,the pilgrimage to kevlaar,Drama,None,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",30-60 mins,7,,,,09-May-21,2021-02-04,12
The Strongest,the strongest,Drama,None,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,,,,,01-Feb-20,2021-02-04,
Karl Fredrik Reigns,karl fredrik reigns,"Comedy, Drama",Swedish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Belgium,Portugal,Hungary,Netherlands,Germany,Czech Republic",1-2 hour,5.2,,,,01-Feb-38,2021-02-04,20
Irl (In Real Life),irl (in real life),Drama,Swedish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania",1-2 hour,5.1,,,,25-Oct-13,2021-02-04,366
Ingeborg Holm,ingeborg holm,Drama,None,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania",1-2 hour,7.1,,,,27-Oct-13,2021-02-04,1001
Hanna in Society,hanna in society,Comedy,Swedish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,3.8,,,,15-Nov-41,2021-02-04,18
Erotikon,erotikon,"Comedy, Romance","None, Swedish",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,6.5,,,,08-Nov-20,2021-02-04,765
Career,career,Drama,English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,6.9,1,4,,01-Oct-60,2021-02-04,559
Blackjack,blackjack,"Action, Comedy, Crime, Drama, Thriller",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,4.9,,,,12-May-98,2021-02-04,3842
Bit By Bit,bit by bit,Comedy,"Swedish, English, Yiddish",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,4.8,,,,27-Sep-02,2021-02-04,840
As Seen On Tv,as seen on tv,"Short, Comedy",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,8.6,2,,,30-Aug-05,2021-02-04,37
Angel,angel,"Action, Drama, Fantasy, Thriller",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Switzerland,United Kingdom,Romania",1-2 hour,7.9,12,48,,05-Oct-99,2021-02-04,64596
A Man There Was,a man there was,"Drama, War",None,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania",30-60 mins,7.4,,,,25-Apr-20,2021-02-04,1559
Firefly Lane,firefly lane,"Drama, Romance",English,Series,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Canada,Belgium,Mexico,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Netherlands,Israel,Australia,Germany,Switzerland,Turkey,Brazil,United Kingdom,India,Malaysia,Hong Kong,South Korea,United States,Russia,Colombia,Argentina,Japan,Romania",< 30 minutes,,,,,03-Feb-21,2021-02-04,
Black Beach,black beach,"Action, Adventure, Drama, Fantasy, Thriller","Spanish, English",Movie,"Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Canada,Mexico,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Israel,Australia,Turkey,Brazil,United Kingdom,India,Malaysia,Hong Kong,United States,Russia,Colombia,Argentina,Japan,Romania",1-2 hour,5.5,,9,,03-Feb-21,2021-02-04,625
Skandal. Ewenement Molesty,skandal. ewenement molesty,"Documentary, Music",Polish,Movie,Poland,1-2 hour,6.2,,,,02-Oct-20,2021-02-03,102
Kid Cosmic,kid cosmic,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",,Series,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Canada,Czech Republic,Mexico,Belgium,South Africa,Portugal,Thailand,Hungary,Singapore,Slovakia,Sweden,Argentina,Australia,Germany,Israel,Brazil,Switzerland,Turkey,India,United Kingdom,Malaysia,Hong Kong,Japan,South Korea,United States,Russia,Colombia,Netherlands,Romania",< 30 minutes,8.3,,,,02-Feb-21,2021-02-03,359
The Unsettling,the unsettling,"Crime, Fantasy, Horror, Sci-Fi, Thriller",English,Series,United States,< 30 minutes,5.1,,,,01-Feb-21,2021-02-02,476
Zac and Mia,zac and mia,Drama,English,Series,United States,< 30 minutes,7.9,3,5,,,2021-02-02,455
My Dead Ex,my dead ex,Comedy,English,Series,United States,< 30 minutes,7,,1,,20-Mar-18,2021-02-02,184
Love Daily,love daily,Romance,English,Series,United States,< 30 minutes,6.3,,1,,07-Feb-18,2021-02-02,101
Stolen face,stolen face,"Crime, Drama",English,Series,Japan,< 30 minutes,6.1,,,,16-Jun-52,2021-02-02,567
The Woman Who Keeps a Murderer,the woman who keeps a murderer,Horror,Japanese,Movie,Japan,1-2 hour,4.8,,,,12-Apr-19,2021-02-02,191
Dragon Quest: The Adventure of Dai,dragon quest: the adventure of dai,"Animation, Action, Adventure, Fantasy",Japanese,Movie,Japan,30-60 mins,8.1,,1,,,2021-02-02,399
Aircraft Carrier Ibuki,aircraft carrier ibuki,"Action, Drama, Thriller, War",Japanese,Movie,Japan,> 2 hrs,4.6,,,,24-May-19,2021-02-02,68
According to Our Butler,according to our butler,"Crime, Drama",Japanese,Movie,Japan,1-2 hour,5,,,,17-May-19,2021-02-02,16
Step,step,Documentary,English,Movie,Japan,1-2 hour,6.8,9,20,"$1,146,292",04-Aug-17,2021-02-02,844
The Magician,the magician,"Comedy, Drama","Turkish, English",Movie,Israel,> 2 hrs,7.4,3,4,,20-Oct-06,2021-02-02,30656
Tek Tek Boom,tek tek boom,"Comedy, Drama",Arabic,Movie,Israel,1-2 hour,2.8,,,,30-Aug-11,2021-02-02,181
I Love Cinema,i love cinema,"Drama, Comedy",Arabic,Movie,Israel,> 2 hrs,6.5,5,1,,09-Jun-04,2021-02-02,870
Breaking News,breaking news,"Action, Crime, Drama","Cantonese, Mandarin, English",Movie,Israel,> 2 hrs,6.7,5,11,,10-Jun-04,2021-02-02,5087
"Miszmasz, czyli Kogel mogel 3","miszmasz, czyli kogel mogel 3","Comedy, Romance",Polish,Movie,Poland,1-2 hour,3.7,,,,25-Jan-19,2021-02-02,385
Blippi,blippi,Family,"English, Spanish, German",Series,India,< 30 minutes,7.8,,1,,27-Jan-14,2021-02-01,350
The Great Race,the great race,"Action, Adventure, Comedy, Family, Romance, Sport, Western",English,Movie,Australia,> 2 hrs,7.3,3,14,,17-Dec-65,2021-02-01,16184
Superman: Red Son,superman: red son,"Animation, Action, Sci-Fi",English,Movie,Australia,1-2 hour,6.4,,1,,25-Feb-20,2021-02-01,10672
Paper Champions,paper champions,Comedy,English,Movie,Australia,1-2 hour,7.3,,,,01-Feb-19,2021-02-01,7
My Blind Date with Life,my blind date with life,"Biography, Comedy, Drama",German,Movie,"Germany,Switzerland",1-2 hour,7.1,,3,,26-Jan-17,2021-02-01,4467
